 sku,image_urls
55411-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/55411-RB-B1.png
55411-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55411-SS-B1.png
55421,https://media.deltafaucet.com/elvis/OnWhite/lg/55421-B1.png
55421-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/55421-CZ-B1.png
55421-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/55421-RB-B1.png
55421-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55421-SS-B1.png
55424,https://media.deltafaucet.com/elvis/OnWhite/lg/55424-B1.png
55424-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/55424-RB-B1.png
55424-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55424-SS-B1.png
55424-WC,https://media.deltafaucet.com/elvis/OnWhite/lg/55424-WC-B1.png
55433,https://media.deltafaucet.com/elvis/OnWhite/lg/55433-B1.png
55433-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/55433-CZ-B1.png
55433-PN,https://media.deltafaucet.com/elvis/OnWhite/lg/55433-PN-B1.png
55433-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/55433-RB-B1.png
55433-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55433-SS-B1.png
55436-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/55436-PK-B1.png
55436-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/55436-SS-PK-B1.png
55445,https://media.deltafaucet.com/elvis/OnWhite/lg/55445-B1.png
55445-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/55445-CZ-B1.png
55445-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/55445-RB-B1.png
55445-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55445-SS-B1.png
55446,https://media.deltafaucet.com/elvis/OnWhite/lg/55446-B1.png
55446-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/55446-RB-B1.png
55446-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55446-SS-B1.png
55511-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/55511-PK-B1.png
55530,https://media.deltafaucet.com/elvis/OnWhite/lg/55530-B1.png
55530-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/55530-CZ-B1.png
55530-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/55530-RB-B1.png
